1164.754282, 4.857094, 928.470359, 231.426829: ns per cell total, react, vel_step, dens_step
1168.057410, 4.738714, 931.828143, 231.490553: ns per cell total, react, vel_step, dens_step
1166.810224, 4.738352, 930.079113, 231.992759: ns per cell total, react, vel_step, dens_step
1167.378594, 4.734232, 930.824544, 231.819819: ns per cell total, react, vel_step, dens_step
1165.251500, 4.736999, 929.146876, 231.367625: ns per cell total, react, vel_step, dens_step
1168.286197, 4.730141, 931.586948, 231.969108: ns per cell total, react, vel_step, dens_step
1165.853707, 4.726784, 929.000097, 232.126826: ns per cell total, react, vel_step, dens_step
1165.608879, 4.760448, 929.371811, 231.476620: ns per cell total, react, vel_step, dens_step
1166.383454, 4.818470, 929.969097, 231.595887: ns per cell total, react, vel_step, dens_step
1166.593701, 4.720194, 930.451275, 231.422233: ns per cell total, react, vel_step, dens_step
1168.505561, 4.718439, 931.808803, 231.978319: ns per cell total, react, vel_step, dens_step
1166.956803, 4.723857, 930.732590, 231.500357: ns per cell total, react, vel_step, dens_step
1166.161038, 4.713643, 929.774089, 231.673306: ns per cell total, react, vel_step, dens_step
1167.646968, 4.714233, 929.429241, 233.503493: ns per cell total, react, vel_step, dens_step
1165.846011, 4.726565, 928.874326, 232.245120: ns per cell total, react, vel_step, dens_step
1167.728717, 4.713404, 931.346519, 231.668795: ns per cell total, react, vel_step, dens_step
1164.989649, 4.712030, 928.631073, 231.646545: ns per cell total, react, vel_step, dens_step
1167.335469, 4.707558, 929.609734, 233.018178: ns per cell total, react, vel_step, dens_step
1182.265792, 4.779103, 945.096810, 232.389878: ns per cell total, react, vel_step, dens_step
1172.834024, 4.822523, 934.556788, 233.454713: ns per cell total, react, vel_step, dens_step
1169.083517, 4.703277, 930.247093, 234.133147: ns per cell total, react, vel_step, dens_step
1164.818140, 4.724772, 928.441977, 231.651390: ns per cell total, react, vel_step, dens_step
1170.725211, 4.698642, 933.381049, 232.645520: ns per cell total, react, vel_step, dens_step
1168.197172, 4.693081, 930.349509, 233.154582: ns per cell total, react, vel_step, dens_step
1169.139154, 4.697878, 932.203862, 232.237414: ns per cell total, react, vel_step, dens_step
1170.112627, 4.698050, 932.003257, 233.411321: ns per cell total, react, vel_step, dens_step
1174.488822, 4.753926, 937.706250, 232.028646: ns per cell total, react, vel_step, dens_step
1170.751151, 4.713385, 933.566320, 232.471446: ns per cell total, react, vel_step, dens_step
1168.532435, 4.800550, 931.882178, 231.849707: ns per cell total, react, vel_step, dens_step
1167.353085, 4.684365, 930.421988, 232.246732: ns per cell total, react, vel_step, dens_step
1168.085887, 4.688913, 931.537052, 231.859921: ns per cell total, react, vel_step, dens_step
